Season;Transfers incoming;Continent;Transfers outgoing;Continent;Number of transfers;Total club-to-club compensation
2021/2022;Portugal;;Belgium;;14;89808437,86
2021/2022;Portugal;;Burkina Faso;;2;0
2021/2022;Portugal;;Bolivia;;2;0
2021/2022;Portugal;;Brazil;;216;101935146,8
2021/2022;Portugal;;Bulgaria;;6;0
2021/2022;Portugal;;Chile;;8;3300000
2021/2022;Portugal;;China PR;;8;0
2021/2022;Portugal;;Côte d'Ivoire;;2;0
2021/2022;Portugal;;Cameroon;;6;0
2021/2022;Portugal;;Congo DR;;2;0
2021/2022;Portugal;;Colombia;;4;0
2021/2022;Portugal;;Cyprus;;22;0
2021/2022;Portugal;;Denmark;;2;0
2021/2022;Portugal;;England;;18;0
2021/2022;Portugal;;Spain;;56;120915334,3
2021/2022;Portugal;;France;;32;8071661,89
2021/2022;Portugal;;Germany;;6;0
2021/2022;Portugal;;Guinea-Bissau;;2;0
2021/2022;Portugal;;Greece;;12;0
2021/2022;Portugal;;Iran;;2;0
2021/2022;Portugal;;Israel;;2;0
2021/2022;Portugal;;Italy;;16;13665859,04
2021/2022;Portugal;;Japan;;8;403583,0945
2021/2022;Portugal;;Korea Republic;;2;0
2021/2022;Portugal;;Saudi Arabia;;6;0
2021/2022;Portugal;;Kuwait;;2;0
2021/2022;Portugal;;Moldova;;2;0
2021/2022;Portugal;;Mexico;;2;0
2021/2022;Portugal;;FYR Macedonia;;2;0
2021/2022;Portugal;;Mozambique;;2;0
2021/2022;Portugal;;Netherlands;;14;36019791,19
2021/2022;Portugal;;Nigeria;;6;786987,0343
2021/2022;Portugal;;Paraguay;;6;4035830,945
2021/2022;Portugal;;Peru;;2;3000000
2021/2022;Portugal;;Poland;;2;0
2021/2022;Portugal;;Romania;;22;0
2021/2022;Portugal;;South Africa;;2;0
2021/2022;Portugal;;Russia;;4;0
2021/2022;Portugal;;Scotland;;2;0
2021/2022;Portugal;;Senegal;;4;2017915,473
2021/2022;Portugal;;Serbia;;6;1412540,831
2021/2022;Portugal;;Switzerland;;10;0
2021/2022;Portugal;;Sweden;;8;0
2021/2022;Portugal;;Turkey;;4;0
2021/2022;Portugal;;United Arab Emirates;;2;0
2021/2022;Portugal;;Uruguay;;10;41547724,51
2021/2022;Portugal;;USA;;4;0
2021/2022;Romania;;Argentina;;8;0
2021/2022;Romania;;Armenia;;2;0
2021/2022;Romania;;Austria;;2;0
2021/2022;Romania;;Azerbaijan;;18;0
2021/2022;Romania;;Belgium;;4;0
2021/2022;Romania;;Bosnia-Herzegovina;;8;0
2021/2022;Romania;;Brazil;;22;72644,95701
2021/2022;Romania;;Bulgaria;;12;42376,22492
2021/2022;Romania;;Chile;;6;0
2021/2022;Romania;;China PR;;2;0
2021/2022;Romania;;Côte d'Ivoire;;12;0
2021/2022;Romania;;Cameroon;;6;0
2021/2022;Romania;;Croatia;;4;178854,7273
2021/2022;Romania;;Cyprus;;6;0
2021/2022;Romania;;England;;8;0
2021/2022;Romania;;Spain;;14;0
2021/2022;Romania;;France;;8;0
2021/2022;Romania;;Germany;;12;0
2021/2022;Romania;;Greece;;20;0
2021/2022;Romania;;Guatemala;;2;0
2021/2022;Romania;;Hungary;;12;0
2021/2022;Romania;;Indonesia;;2;0
2021/2022;Romania;;India;;2;0
2021/2022;Romania;;Republic of Ireland;;2;0
2021/2022;Romania;;Iceland;;2;0
2021/2022;Romania;;Israel;;2;0
2021/2022;Romania;;Italy;;34;211881,1246
2021/2022;Romania;;Jordan;;2;0
2021/2022;Romania;;Kazakhstan;;2;0
2021/2022;Romania;;Kuwait;;2;0
2021/2022;Romania;;Libya;;2;0
2021/2022;Romania;;Lithuania;;8;201791,5473
2021/2022;Romania;;Latvia;;2;0
2021/2022;Romania;;Moldova;;16;0
2021/2022;Romania;;FYR Macedonia;;4;0
2021/2022;Romania;;Mozambique;;2;0
2021/2022;Romania;;Netherlands;;2;0
2021/2022;Romania;;Nigeria;;2;0
2021/2022;Romania;;Poland;;4;0
2021/2022;Romania;;Portugal;;48;2149794,602
2021/2022;Romania;;Qatar;;2;0
2021/2022;Romania;;South Africa;;2;0
2021/2022;Romania;;Russia;;10;0
2021/2022;Romania;;Scotland;;2;0
2021/2022;Romania;;Singapore;;2;0
2021/2022;Romania;;Serbia;;12;0
2021/2022;Romania;;Switzerland;;6;0
2021/2022;Romania;;Slovakia;;2;0
2021/2022;Romania;;Slovenia;;2;0
2021/2022;Romania;;Sweden;;4;0
2021/2022;Romania;;Tunisia;;2;0
2021/2022;Romania;;Turkey;;6;423762,2492
2021/2022;Romania;;United Arab Emirates;;2;0
2021/2022;Romania;;Ukraine;;6;0
2021/2022;Romania;;Uruguay;;4;0
2021/2022;Romania;;USA;;2;0
2021/2022;Russia;;Armenia;;10;0
2021/2022;Russia;;Australia;;2;1050000
2021/2022;Russia;;Azerbaijan;;4;0
2021/2022;Russia;;Belgium;;6;44595931,94
2021/2022;Russia;;Bosnia-Herzegovina;;2;0
2021/2022;Russia;;Belarus;;16;18549484,77
2021/2022;Russia;;Brazil;;10;8071661,89
2021/2022;Russia;;Bulgaria;;4;0
2021/2022;Russia;;Canada;;2;0
2021/2022;Russia;;Croatia;;4;300000
2021/2022;Russia;;Czech Republic;;4;161433,2378
2021/2022;Russia;;Denmark;;4;0
2021/2022;Russia;;England;;26;247756795,9
2021/2022;Russia;;Spain;;12;44394140,4
2021/2022;Russia;;Estonia;;6;0
2021/2022;Russia;;Finland;;2;0
2021/2022;Russia;;France;;10;0
2021/2022;Russia;;Georgia;;4;0
2021/2022;Russia;;Germany;;4;0
2021/2022;Russia;;Greece;;4;403583,0945
2021/2022;Russia;;Iran;;2;4200000
2021/2022;Russia;;Iceland;;2;0
2021/2022;Russia;;Israel;;8;1210749,284
2021/2022;Russia;;Italy;;6;129146590,2
2021/2022;Russia;;Jordan;;4;0
2021/2022;Russia;;Kazakhstan;;2;0
2021/2022;Russia;;Kyrgyzstan;;4;0
2021/2022;Russia;;Korea Republic;;2;0
2021/2022;Russia;;Saudi Arabia;;2;0
2021/2022;Russia;;Lithuania;;12;142464,8324
2021/2022;Russia;;Latvia;;20;1138105,296
2021/2022;Russia;;Moldova;;18;4035830,945
2021/2022;Russia;;Mexico;;2;0
2021/2022;Russia;;Netherlands;;8;122285677,6
2021/2022;Russia;;Poland;;6;14004333,38
2021/2022;Russia;;Portugal;;4;3632247,851
2021/2022;Russia;;Romania;;10;0
2021/2022;Russia;;Senegal;;2;345000
2021/2022;Russia;;El Salvador;;2;450000
2021/2022;Russia;;Serbia;;6;0
2021/2022;Russia;;Switzerland;;2;0
2021/2022;Russia;;Slovakia;;10;6672670,569
2021/2022;Russia;;Slovenia;;2;972553,3836
2021/2022;Russia;;Sweden;;2;0
2021/2022;Russia;;Turkey;;4;41165475,64
2021/2022;Russia;;Ukraine;;26;55485660,02
2021/2022;Russia;;Uruguay;;2;0
2021/2022;Scotland;;Australia;;6;1240528,004
2021/2022;Scotland;;Austria;;2;0
2021/2022;Scotland;;Belgium;;2;4249302,623
2021/2022;Scotland;;Bulgaria;;2;215244,3036
2021/2022;Scotland;;Canada;;4;0
2021/2022;Scotland;;China PR;;2;0
2021/2022;Scotland;;Cyprus;;6;0
2021/2022;Scotland;;Czech Republic;;2;100895,7736
2021/2022;Scotland;;Denmark;;4;0
2021/2022;Scotland;;England;;222;2848481,502
2021/2022;Scotland;;Spain;;8;1410724,436
2021/2022;Scotland;;Finland;;2;0
2021/2022;Scotland;;France;;4;3228664,756
2021/2022;Scotland;;Gabon;;2;0
2021/2022;Scotland;;Germany;;4;0
2021/2022;Scotland;;Greece;;6;0
2021/2022;Scotland;;Honduras;;2;0
2021/2022;Scotland;;Hungary;;2;0
2021/2022;Scotland;;Republic of Ireland;;10;4842,997134
2021/2022;Scotland;;Iceland;;8;0
2021/2022;Scotland;;Italy;;4;2017915,473
2021/2022;Scotland;;Lithuania;;4;0
2021/2022;Scotland;;Malta;;8;0
2021/2022;Scotland;;Netherlands;;10;0
2021/2022;Scotland;;Nigeria;;2;235120,7393
2021/2022;Scotland;;Northern Ireland;;16;228102,3852
2021/2022;Scotland;;Norway;;2;0
2021/2022;Scotland;;Sweden;;6;13774268,09
2021/2022;Scotland;;Thailand;;2;0
2021/2022;Scotland;;Trinidad and Tobago;;2;0
2021/2022;Scotland;;Turkey;;4;0
2021/2022;Scotland;;Ukraine;;2;1410724,436
2021/2022;Scotland;;Vietnam;;2;0
2021/2022;Scotland;;Wales;;8;0
2021/2022;Serbia;;Albania;;2;0
2021/2022;Serbia;;Austria;;4;565016,3323
2021/2022;Serbia;;Azerbaijan;;2;0
2021/2022;Serbia;;Belgium;;8;0
2021/2022;Serbia;;Bosnia-Herzegovina;;10;40358,30945
2021/2022;Serbia;;Brazil;;8;5973029,799
2021/2022;Serbia;;Bulgaria;;2;0
2021/2022;Serbia;;China PR;;8;0
2021/2022;Serbia;;Cyprus;;8;0
2021/2022;Serbia;;Czech Republic;;4;0
2021/2022;Serbia;;Spain;;6;0
2021/2022;Serbia;;France;;4;0
2021/2022;Serbia;;Germany;;6;80716,6189
2021/2022;Serbia;;Ghana;;12;3067271,877
2021/2022;Serbia;;Greece;;12;0
2021/2022;Serbia;;Hungary;;4;0
2021/2022;Serbia;;Iran;;6;0
2021/2022;Serbia;;Israel;;2;0
2021/2022;Serbia;;Italy;;6;0
2021/2022;Serbia;;Kazakhstan;;2;0
2021/2022;Serbia;;Moldova;;6;755374,6418
2021/2022;Serbia;;FYR Macedonia;;12;31479,48137
2021/2022;Serbia;;Montenegro;;18;0
2021/2022;Serbia;;Netherlands;;4;0
2021/2022;Serbia;;Poland;;4;0
2021/2022;Serbia;;Romania;;10;0
2021/2022;Serbia;;Russia;;2;1614332,378
2021/2022;Serbia;;Slovenia;;2;0
2021/2022;Serbia;;Sweden;;6;54483,71776
2021/2022;Serbia;;United Arab Emirates;;2;0
2021/2022;Serbia;;USA;;2;0
2021/2022;Serbia;;Uzbekistan;;2;0
2021/2022;Switzerland;;Albania;;4;0
2021/2022;Switzerland;;Argentina;;4;37500
2021/2022;Switzerland;;Austria;;4;0
2021/2022;Switzerland;;Belgium;;4;0
2021/2022;Switzerland;;Bosnia-Herzegovina;;2;0
2021/2022;Switzerland;;Brazil;;22;5759187,481
2021/2022;Switzerland;;Bulgaria;;2;0
2021/2022;Switzerland;;Canada;;2;0
2021/2022;Switzerland;;Chile;;2;4800000
2021/2022;Switzerland;;Côte d'Ivoire;;2;161433,2378
2021/2022;Switzerland;;Cameroon;;2;0
2021/2022;Switzerland;;Croatia;;2;0
2021/2022;Switzerland;;Czech Republic;;2;4035830,945
2021/2022;Switzerland;;England;;10;2017915,473
2021/2022;Switzerland;;Spain;;24;4136726,719
2021/2022;Switzerland;;Finland;;2;2219707,02
2021/2022;Switzerland;;France;;18;0
2021/2022;Switzerland;;Georgia;;4;0
2021/2022;Switzerland;;Germany;;18;14269689,26
2021/2022;Switzerland;;Ghana;;2;0
2021/2022;Switzerland;;Greece;;6;0
2021/2022;Switzerland;;Hungary;;4;1634511,533
2021/2022;Switzerland;;Italy;;36;1291465,902
2021/2022;Switzerland;;Japan;;8;2825081,662
2021/2022;Switzerland;;Saudi Arabia;;2;0
2021/2022;Switzerland;;Kosovo;;2;0
2021/2022;Switzerland;;Luxembourg;;2;0
2021/2022;Switzerland;;Morocco;;2;0
2021/2022;Switzerland;;Myanmar;;2;0
2021/2022;Switzerland;;Netherlands;;2;0
2021/2022;Switzerland;;Poland;;2;0
2021/2022;Switzerland;;Portugal;;8;0
2021/2022;Switzerland;;Korea DPR;;2;0
2021/2022;Switzerland;;Qatar;;2;0
2021/2022;Switzerland;;Romania;;2;0
2021/2022;Switzerland;;Serbia;;4;0
2021/2022;Switzerland;;Tunisia;;2;0
2021/2022;Switzerland;;Turkey;;2;0
2021/2022;Switzerland;;Uruguay;;2;0
2021/2022;Switzerland;;Venezuela;;4;7990945,271
2021/2022;Slovakia;;Armenia;;2;0
2021/2022;Slovakia;;Belgium;;2;0
2021/2022;Slovakia;;Brazil;;4;50246,15541
2021/2022;Slovakia;;China PR;;2;0
2021/2022;Slovakia;;Costa Rica;;2;121074,9284
2021/2022;Slovakia;;Czech Republic;;90;5365657,787
2021/2022;Slovakia;;France;;6;0
2021/2022;Slovakia;;Germany;;2;0
2021/2022;Slovakia;;Greece;;4;0
2021/2022;Slovakia;;Iran;;6;0
2021/2022;Slovakia;;Israel;;2;0
2021/2022;Slovakia;;Italy;;4;0
2021/2022;Slovakia;;Malaysia;;6;0
2021/2022;Slovakia;;Panama;;2;116631
2021/2022;Slovakia;;Peru;;2;80716,6189
2021/2022;Slovakia;;Poland;;8;0
2021/2022;Slovakia;;Portugal;;2;201791,5473
2021/2022;Slovakia;;South Africa;;4;24214,98567
2021/2022;Slovakia;;Russia;;2;100041,6895
2021/2022;Slovakia;;Slovenia;;4;201791,5473
2021/2022;Slovakia;;Turkey;;4;0
2021/2022;Slovakia;;Ukraine;;4;0
2021/2022;Slovakia;;Uzbekistan;;2;0
2021/2022;Slovenia;;Bosnia-Herzegovina;;4;0
2021/2022;Slovenia;;Brazil;;2;0
2021/2022;Slovenia;;Bulgaria;;8;0
2021/2022;Slovenia;;China PR;;4;0
2021/2022;Slovenia;;Cameroon;;2;0
2021/2022;Slovenia;;Croatia;;18;0
2021/2022;Slovenia;;Cyprus;;2;0
2021/2022;Slovenia;;England;;4;0
2021/2022;Slovenia;;Hungary;;4;0
2021/2022;Slovenia;;Israel;;2;0
2021/2022;Slovenia;;Italy;;4;0
2021/2022;Slovenia;;Moldova;;2;1614332,378
2021/2022;Slovenia;;FYR Macedonia;;2;0
2021/2022;Slovenia;;Netherlands;;4;0
2021/2022;Slovenia;;Poland;;2;0
2021/2022;Slovenia;;Romania;;4;0
2021/2022;Slovenia;;Russia;;2;0
2021/2022;Slovenia;;Uzbekistan;;2;0
2021/2022;Sweden;;Albania;;2;0
2021/2022;Sweden;;Argentina;;4;0
2021/2022;Sweden;;Armenia;;2;0
2021/2022;Sweden;;Australia;;6;0
2021/2022;Sweden;;Belgium;;4;100895,7736
2021/2022;Sweden;;Bosnia-Herzegovina;;6;0
2021/2022;Sweden;;Brazil;;12;600000
2021/2022;Sweden;;Bulgaria;;2;0
2021/2022;Sweden;;Canada;;2;0
2021/2022;Sweden;;Côte d'Ivoire;;2;0
2021/2022;Sweden;;Costa Rica;;2;0
2021/2022;Sweden;;Croatia;;10;0
2021/2022;Sweden;;Cyprus;;2;0
2021/2022;Sweden;;Czech Republic;;2;0
2021/2022;Sweden;;Denmark;;32;1313748,457
2021/2022;Sweden;;England;;34;24452,55688
2021/2022;Sweden;;Spain;;12;0
2021/2022;Sweden;;Finland;;12;1836303,08
2021/2022;Sweden;;France;;2;0
2021/2022;Sweden;;Faroe Islands;;4;20179,15473
2021/2022;Sweden;;Germany;;20;121074,9284
2021/2022;Sweden;;Ghana;;16;302687,3209
2021/2022;Sweden;;Greece;;2;0
2021/2022;Sweden;;Honduras;;2;105000
2021/2022;Sweden;;Hungary;;4;0
2021/2022;Sweden;;Iran;;2;0
2021/2022;Sweden;;Iceland;;18;2705716,571
2021/2022;Sweden;;Italy;;10;0
2021/2022;Sweden;;Jamaica;;4;0
2021/2022;Sweden;;Korea Republic;;2;0
2021/2022;Sweden;;Kosovo;;2;0
2021/2022;Sweden;;Liberia;;6;0
2021/2022;Sweden;;Moldova;;10;0
2021/2022;Sweden;;FYR Macedonia;;2;0
2021/2022;Sweden;;Montenegro;;2;0
2021/2022;Sweden;;Netherlands;;14;2058273,782
2021/2022;Sweden;;Nigeria;;4;403,5830945
2021/2022;Sweden;;Norway;;56;6205139,757
2021/2022;Sweden;;Panama;;2;60000
2021/2022;Sweden;;Poland;;2;0
2021/2022;Sweden;;Portugal;;4;0
2021/2022;Sweden;;Romania;;6;280893,8338
2021/2022;Sweden;;Russia;;2;0
2021/2022;Sweden;;Scotland;;8;42376,22492
2021/2022;Sweden;;Senegal;;2;15000
2021/2022;Sweden;;Sierra Leone;;20;30268,73209
2021/2022;Sweden;;Serbia;;14;0
2021/2022;Sweden;;Switzerland;;2;0
2021/2022;Sweden;;Slovenia;;2;0
2021/2022;Sweden;;Thailand;;2;0
2021/2022;Sweden;;Togo;;2;0
2021/2022;Sweden;;Tunisia;;2;0
2021/2022;Sweden;;Turkey;;4;0
2021/2022;Sweden;;USA;;26;225000
2021/2022;Sweden;;Vietnam;;2;0
2021/2022;Sweden;;Zimbabwe;;2;15000
2021/2022;Turkey;;Albania;;2;0
2021/2022;Turkey;;Argentina;;4;0
2021/2022;Turkey;;Austria;;16;10896743,55
2021/2022;Turkey;;Azerbaijan;;4;0
2021/2022;Turkey;;Belgium;;10;605374,6418
2021/2022;Turkey;;Bosnia-Herzegovina;;4;3329560,53
2021/2022;Turkey;;Brazil;;6;16546906,87
2021/2022;Turkey;;Bulgaria;;14;14730782,95
2021/2022;Turkey;;Chile;;2;0
2021/2022;Turkey;;Côte d'Ivoire;;2;0
2021/2022;Turkey;;Croatia;;4;0
2021/2022;Turkey;;Cyprus;;4;1412540,831
2021/2022;Turkey;;Czech Republic;;6;6235898,887
2021/2022;Turkey;;Denmark;;4;0
2021/2022;Turkey;;England;;28;36726061,6
2021/2022;Turkey;;Spain;;10;42571788,48
2021/2022;Turkey;;France;;22;66389419,05
2021/2022;Turkey;;Germany;;108;24954047,21
2021/2022;Turkey;;Ghana;;10;1528241,117
2021/2022;Turkey;;Greece;;4;14125408,31
2021/2022;Turkey;;Hungary;;4;2482036,031
2021/2022;Turkey;;Israel;;2;0
2021/2022;Turkey;;Italy;;8;8475244,985
2021/2022;Turkey;;Kyrgyzstan;;4;0
2021/2022;Turkey;;FYR Macedonia;;2;0
2021/2022;Turkey;;Netherlands;;20;2915887,858
2021/2022;Turkey;;Nigeria;;4;2825081,662
2021/2022;Turkey;;Norway;;6;1452899,14
2021/2022;Turkey;;Poland;;4;21188112,46
2021/2022;Turkey;;Portugal;;14;3834039,398
2021/2022;Turkey;;Romania;;4;262329,0114
2021/2022;Turkey;;South Africa;;2;1299301,23
2021/2022;Turkey;;Russia;;2;0
2021/2022;Turkey;;Scotland;;4;0
2021/2022;Turkey;;Senegal;;4;0
2021/2022;Turkey;;Serbia;;4;1614332,378
2021/2022;Turkey;;Switzerland;;10;19978097,39
2021/2022;Turkey;;Slovakia;;2;0
2021/2022;Turkey;;Sweden;;2;12309284,38
2021/2022;Turkey;;Tunisia;;6;3127768,982
2021/2022;Turkey;;United Arab Emirates;;2;0
2021/2022;Turkey;;Uruguay;;4;30991858,88
2021/2022;Ukraine;;Argentina;;2;0
2021/2022;Ukraine;;Armenia;;10;0
2021/2022;Ukraine;;Austria;;4;0
2021/2022;Ukraine;;Azerbaijan;;6;0
2021/2022;Ukraine;;Belgium;;8;14125408,31
2021/2022;Ukraine;;Bosnia-Herzegovina;;2;0
2021/2022;Ukraine;;Belarus;;18;0
2021/2022;Ukraine;;Brazil;;22;69769831,05
2021/2022;Ukraine;;Bulgaria;;4;1906930,122
2021/2022;Ukraine;;Chile;;2;300000
2021/2022;Ukraine;;Colombia;;2;6154642,191
2021/2022;Ukraine;;Croatia;;10;2334332,378
2021/2022;Ukraine;;Cyprus;;4;0
2021/2022;Ukraine;;Czech Republic;;2;0
2021/2022;Ukraine;;England;;4;28214488,71
2021/2022;Ukraine;;Spain;;6;20602916,97
2021/2022;Ukraine;;France;;12;54483717,76
2021/2022;Ukraine;;Georgia;;12;375000
2021/2022;Ukraine;;Germany;;4;0
2021/2022;Ukraine;;Greece;;10;1210749,284
2021/2022;Ukraine;;Hungary;;4;0
2021/2022;Ukraine;;Israel;;2;0
2021/2022;Ukraine;;Italy;;4;7447978,611
2021/2022;Ukraine;;Kazakhstan;;6;0
2021/2022;Ukraine;;Lithuania;;10;0
2021/2022;Ukraine;;Latvia;;10;241382,6737
2021/2022;Ukraine;;Moldova;;38;600000
2021/2022;Ukraine;;FYR Macedonia;;2;0
2021/2022;Ukraine;;Montenegro;;2;807166,189
2021/2022;Ukraine;;Netherlands;;4;0
2021/2022;Ukraine;;Nigeria;;4;0
2021/2022;Ukraine;;Poland;;30;0
2021/2022;Ukraine;;Portugal;;6;601338,8108
2021/2022;Ukraine;;Romania;;10;339913,8255
2021/2022;Ukraine;;Russia;;44;2800749,284
2021/2022;Ukraine;;Scotland;;4;0
2021/2022;Ukraine;;Serbia;;4;0
2021/2022;Ukraine;;Switzerland;;2;16143323,78
2021/2022;Ukraine;;Slovakia;;10;1816123,925
2021/2022;Ukraine;;Tajikistan;;2;0
2021/2022;Ukraine;;Tunisia;;4;0
2021/2022;Ukraine;;Turkey;;2;0
2021/2022;Ukraine;;Uruguay;;2;16143323,78
2021/2022;Ukraine;;Uzbekistan;;18;0
2021/2022;Wales;;Australia;;4;0
2021/2022;Wales;;Austria;;2;0
2021/2022;Wales;;Cyprus;;2;0
2021/2022;Wales;;England;;126;51777113,59
2021/2022;Wales;;France;;6;3591889,541
2021/2022;Wales;;Germany;;2;807166,189
2021/2022;Wales;;Iran;;2;0
2021/2022;Wales;;Italy;;2;0
2021/2022;Wales;;Netherlands;;4;7062704,154
2021/2022;Wales;;Northern Ireland;;2;963995,0309
2021/2022;Wales;;Portugal;;2;1614332,378
2021/2022;Wales;;Scotland;;8;0
2021/2022;Wales;;Slovakia;;2;2825081,662
2021/2022;Wales;;Turkey;;2;3228664,756
2021/2022;Wales;;USA;;2;0
2022/2028;Albania;;Austria;;2;0
2022/2028;Albania;;Azerbaijan;;6;0
2022/2028;Albania;;Belgium;;2;0
2022/2028;Albania;;Bosnia-Herzegovina;;2;0
2022/2028;Albania;;Brazil;;10;0
2022/2028;Albania;;Colombia;;2;0
2022/2028;Albania;;Croatia;;8;0
2022/2028;Albania;;England;;2;0
2022/2028;Albania;;France;;2;0
2022/2028;Albania;;Greece;;20;0
2022/2028;Albania;;Hungary;;4;0
2022/2028;Albania;;India;;2;0
2022/2028;Albania;;Italy;;12;0
2022/2028;Albania;;Kazakhstan;;2;0
2022/2028;Albania;;Korea Republic;;2;0
2022/2028;Albania;;Saudi Arabia;;2;0
2022/2028;Albania;;Kosovo;;22;0
2022/2028;Albania;;Malaysia;;2;0
2022/2028;Albania;;Moldova;;2;0
2022/2028;Albania;;FYR Macedonia;;8;0
2022/2028;Albania;;Mali;;2;0
2022/2028;Albania;;Malta;;4;0
2022/2028;Albania;;Montenegro;;4;0
2022/2028;Albania;;Nigeria;;20;0
2022/2028;Albania;;Poland;;2;0
2022/2028;Albania;;Portugal;;8;0
2022/2028;Albania;;Romania;;4;0
2022/2028;Albania;;Serbia;;34;0
2022/2028;Albania;;Switzerland;;2;0
2022/2028;Albania;;Sweden;;2;0
2022/2028;Albania;;Turkey;;2;0
2022/2028;Albania;;USA;;2;0
2022/2028;Albania;;Vietnam;;2;0
2022/2028;Armenia;;Belarus;;2;0
2022/2028;Armenia;;Brazil;;2;0
2022/2028;Armenia;;Bulgaria;;4;0
2022/2028;Armenia;;Côte d'Ivoire;;4;0
2022/2028;Armenia;;Spain;;2;0
2022/2028;Armenia;;Georgia;;8;0
2022/2028;Armenia;;Germany;;2;0
2022/2028;Armenia;;Ghana;;2;39201,89484
2022/2028;Armenia;;Iran;;10;0
2022/2028;Armenia;;Kenya;;2;0
2022/2028;Armenia;;Lebanon;;2;0
2022/2028;Armenia;;Lithuania;;2;0
2022/2028;Armenia;;Moldova;;2;0
2022/2028;Armenia;;FYR Macedonia;;2;0
2022/2028;Armenia;;Poland;;2;0
2022/2028;Armenia;;Romania;;2;0
2022/2028;Armenia;;Russia;;26;0
2022/2028;Armenia;;Slovakia;;6;0
2022/2028;Armenia;;Ukraine;;8;6000
2022/2028;Austria;;Belgium;;2;2421498,567
2022/2028;Austria;;Bosnia-Herzegovina;;2;0
2022/2028;Austria;;Brazil;;14;80716,6189
2022/2028;Austria;;Côte d'Ivoire;;2;605374,6418
2022/2028;Austria;;Croatia;;2;0
2022/2028;Austria;;Denmark;;2;0
2022/2028;Austria;;England;;2;0
2022/2028;Austria;;Spain;;18;0
2022/2028;Austria;;France;;4;17798275,6
2022/2028;Austria;;Germany;;40;35693211,74
2022/2028;Austria;;Greece;;6;76680,78796
2022/2028;Austria;;Hungary;;4;12107,49284
2022/2028;Austria;;Iran;;2;0
2022/2028;Austria;;Netherlands;;2;0
2022/2028;Austria;;Norway;;8;25425734,95
2022/2028;Austria;;Russia;;2;0
2022/2028;Austria;;Scotland;;2;0
2022/2028;Austria;;El Salvador;;2;270000
2022/2028;Austria;;Serbia;;2;0
2022/2028;Austria;;Switzerland;;4;1210749,284
2022/2028;Austria;;Slovakia;;2;322866,4756
2022/2028;Austria;;Slovenia;;6;3329560,53
2022/2028;Austria;;Turkey;;4;0
2022/2028;Austria;;Ukraine;;2;0
2022/2028;Austria;;Uruguay;;2;0
2022/2028;Austria;;USA;;4;0
2022/2028;Azerbaijan;;Austria;;2;0
2022/2028;Azerbaijan;;Belgium;;6;0
2022/2028;Azerbaijan;;Bosnia-Herzegovina;;6;0
2022/2028;Azerbaijan;;Bolivia;;2;450000
2022/2028;Azerbaijan;;Brazil;;4;450000
2022/2028;Azerbaijan;;Bulgaria;;2;605374,6418
2022/2028;Azerbaijan;;Chile;;4;0
2022/2028;Azerbaijan;;China PR;;6;0
2022/2028;Azerbaijan;;Cameroon;;2;0
2022/2028;Azerbaijan;;Croatia;;12;0
2022/2028;Azerbaijan;;Cyprus;;6;0
2022/2028;Azerbaijan;;Czech Republic;;2;0
2022/2028;Azerbaijan;;Egypt;;2;0
2022/2028;Azerbaijan;;Spain;;6;0
2022/2028;Azerbaijan;;France;;2;0
2022/2028;Azerbaijan;;Georgia;;18;0
2022/2028;Azerbaijan;;Germany;;8;0
2022/2028;Azerbaijan;;Greece;;14;0
2022/2028;Azerbaijan;;Hong Kong;;2;0
2022/2028;Azerbaijan;;Hungary;;8;0
2022/2028;Azerbaijan;;Kazakhstan;;6;0
2022/2028;Azerbaijan;;Kuwait;;2;0
2022/2028;Azerbaijan;;Lithuania;;4;0
2022/2028;Azerbaijan;;Latvia;;4;0
2022/2028;Azerbaijan;;Moldova;;2;0
2022/2028;Azerbaijan;;FYR Macedonia;;2;0
2022/2028;Azerbaijan;;Montenegro;;2;0
2022/2028;Azerbaijan;;Paraguay;;2;240000
2022/2028;Azerbaijan;;Poland;;8;0
2022/2028;Azerbaijan;;Portugal;;2;0
2022/2028;Azerbaijan;;Romania;;12;635643,3739
2022/2028;Azerbaijan;;Russia;;28;7954,628479
2022/2028;Azerbaijan;;Serbia;;6;135000
2022/2028;Azerbaijan;;Switzerland;;4;0
2022/2028;Azerbaijan;;Slovakia;;2;0
2022/2028;Azerbaijan;;Slovenia;;2;0
2022/2028;Azerbaijan;;Turkmenistan;;6;0
2022/2028;Azerbaijan;;Turkey;;22;0
2022/2028;Azerbaijan;;United Arab Emirates;;2;0
2022/2028;Azerbaijan;;Ukraine;;6;0
2022/2028;Azerbaijan;;USA;;2;22500
2022/2028;Belgium;;Algeria;;4;0
2022/2028;Belgium;;Argentina;;2;0
2022/2028;Belgium;;Australia;;2;0
2022/2028;Belgium;;Austria;;2;0
2022/2028;Belgium;;Azerbaijan;;2;0
2022/2028;Belgium;;Belarus;;2;0
2022/2028;Belgium;;Brazil;;8;0
2022/2028;Belgium;;Bulgaria;;2;0
2022/2028;Belgium;;Côte d'Ivoire;;4;148881,8036
2022/2028;Belgium;;Cameroon;;6;0
2022/2028;Belgium;;Congo DR;;4;1311645,057
2022/2028;Belgium;;Costa Rica;;4;806843,3225
2022/2028;Belgium;;Croatia;;8;242149,8567
2022/2028;Belgium;;Cyprus;;8;4035830,945
2022/2028;Belgium;;Denmark;;8;6986405,144
