text,positive,lemm_text
"@alfiya_myachina принесли горячую, а потом подостыла) ну она в общем ничего была",1,принести горячий а потом подостыть ну она в общий ничто быть 
"Жуйк, чем ты пользуешься для копирования DVD-video дисков на жёсткий диск? :-)",1,жуйк чем ты пользоваться для копирование диск на жёсткий диск 
@4EU3 если скучаете по русским гоните во Вьетнам))) там не далеко!,1,если скучать по русский гнать в вьетнам там не далеко 
"До официальной премьеры #Хоббита - неделя. А это значит, что пора пересмотреть все видео блоги!) #hobbit #Smaug #Bilbo #PetterJacson",1,до официальный премьера хоббит неделя а это значит что пора пересмотреть весь видео блог 
"@Rodionc ок, спасибо. потестю как смогу заставить работать гугльплэй :)",1,ок спасибо потесть как смочь заставить работать гугльплэй 
толерантность гороскопная :) http://t.co/cQCmGP6nGX,1,толерантность гороскопный 
Автазаводская...как дом второй блин...как и не уезжала),1,автазаводский как дом два блин как и не уезжать 
@Sweet_Ann @le_rouxx @Chmarysia ну хоть не опоздала),1,ну хоть не опоздать 
"Слушаю музыку и как то думаю о учебе, походу эту четверть плохо закончу!)",1,слушать музыка и как то думать о учёба поход этот четверть плохо закончить 
Только сегодня и только у нас — первое живое индийское кино на Жуйке! Спешите видеть!    :),1,только сегодня и только у мы первое живой индийский кино на жуйка спешить видеть 
@alina_aip не верится во что? в то что я назвала себя не жирной? :D,1,не вериться в что в то что я назвать себя не жирный 
@_13417 ахаха. Хорошо. А я ток домой. С 8свалила. Тсс))),1,ахах хорошо а я ток домой с свалить тсс 
"ну первую букву скажи хотяб=) — ЗАЧЕМ ВСЕ ЭТИ ДОГАДКИ, ПРИДЕТ ВРЕМЯ, Я СКАЖУ КТО ОНА И ДАЖЕ ПОКАЖУ :) http://t.co/Zc2B8gzPla",1,ну один буква сказать хотябнуть зачем весь этот догадка прийти время я сказать кто она и даже показать 
"""@pavelsheremet: Лежачий протест у генпрокуратуры Украины #евромайдан Фото - Дмитро Ларин http://t.co/VMWEnoOOey"" Украина отжигает!)",1,лежачий протест у генпрокуратура украина евромайдан фото дмитро ларин украина отжигать 
"@Dump_Bullshit ааааааа
родной!!!! 
конешна хочу!!!!:D",1,ааааааа родной конешный хотеть 
"Нет, я не шалю в школе...подумаешь играла на гитаре в коридоре..на подоконнике...во время урока :D",1,нет я не шалить в школа подумать играть на гитара в коридор на подоконник в время урок 
"Завтра приедет моя маленькая на соревнования, будет ночевать у меня:*",1,завтра приехать мой маленький на соревнование быть ночевать у я 
"@ksv1976  это намного практичнее и дешевле. планшеты, ноуты это одноразовые игрушки )))",1,это намного практичный и дешёвый планшет ноут это одноразовый игрушка 
"@Stasya_Rich пахаха хорошо))) 
ну а теперь что делаешь?",1,пахах хорошо ну а теперь что делать 
"Соседка по парте делала мне сегодня операцию на руке. Без наркоза. Линейками, карандашами и ручками.. :D
Никогда такой боли не испытывал :с",1,соседка по парта делать я сегодня операция на рука без наркоз линейка карандаш и ручка никогда такой боль не испытывать с 
"Выпил чаю,очистил разум)а теперь можно пойти напакостить где нибудь))",1,выпить чай очистить разум а теперь можно пойти напакостить где нибыть 
"@OlyaDemenk вот ещё что вспомнила,ты там книгу не забудь,о которой я тебе говорила :)",1,вот ещё что вспомнить ты там книга не забыть о который я ты говорить 
"@Nyusha_Nyusha вообще не деталь дома, мне достаточно музыку новогоднюю послушать, тогда и настроение появляется :)) Это Новый год ;))",1,вообще не деталь дом я достаточно музыка новогодний послушать тогда и настроение появляться это новый год 
"Велосезон закрыт неудачно, оказывается колесо пробил. %)",1,велосезон закрытый неудачно оказываться колесо пробить 
"@yuliyamoysevich потому что со мной не надо спорить:D
почему не надо?:D",1,потому что с я не надо спорить почему не надо 
"ууу: Есть планы на завтра?
ххх: Нет.
ууу: Договорились! :)",1,ууу есть план на завтра ххх нет ууу договориться 
"А я одна:D
Обожаю эти моменты!)) Настроение зашкаливает!К чёрту бега, буду танцевать!;)",1,а я один обожать этот момент настроение зашкаливать к чёрт бег быть танцевать 
@FranGulevskih @bell_pro100psih @N_FMB_ не шалить у меня там),1,не шалить у я там 
"Сегодня все должно быть по плану))Надеюсь я буду ленивой жопой и сделаю все,как надо))",1,сегодня весь должный быть по план надеяться я быть ленивый жопа и сделать весь как надо 
А вы когда-то пробовали повторить ирокез Билла?  / Что из этого получилось? :D http://t.co/NNcfqJTru0,1,а вы когда то пробовать повторить ирокез билл что из это получиться 
"@Sasha_FRG та кто знает,может крутую штуку придумали)",1,тот кто знать мочь крутой штука придумать 
"Ураа, на танцы) хоть что то радует http://t.co/rSYRHKs5qu",1,ураа на танец хоть что то радовать 
"Чтобы не позориться, человек заучил 10 умных слов и тыкает их в каждое предложение. Впервые встретив его, еще не подозреваешь)",1,чтобы не позориться человек заучить умный слово и тыкать они в каждый предложение впервые встретить он ещё не подозревать 
"@Yunus_D Дала аьтто бойла! ИншаАллах1,отлично пройдет)",1,дать аьтто бойло иншааллах отлично пройти 
"Хотяяяя... Следующая неделя лекциоооонная, значит каникулы относительно продолжаются)",1,хотяяять следующий неделя лекциоооонный значит каникулы относительно продолжаться 
"Если вы меня не видели по настоящему бухим, то вам так крупно повезло ;D
А так я уже 2 года не употребляю ничего :D",1,если вы я не видеть по настоящий бухой то вы так крупно повезти а так я уже год не употреблять ничто 
"Выгуляли собак да и сами выгулялись:)сходили на заправку купили ролтон:)у меня было такое чувство что я в Аляске:)ахахаха 
@LeraEskevich",1,выгулять собака да и сам выгуляться сходить на заправка купить ролтон у я быть такой чувство что я в аляска ахахах 
12 декабря я официально объявляю днем шведского консульства. Мы оттуда не вылезем с Маринкой :),1,декабрь я официально объявлять днём шведский консульство мы оттуда не вылезти с маринка 
"RT @RadioRecord: Мода, она бывает разной) #radiorecord http://t.co/70Pg4Bbjry",1,мода она бывать разный 
"Сижу в Сбербанке Пенза, сейчас нам расскажут про новые продукты и вообще как правильно бизнес вести;)",1,сидеть в сбербанк пенза сейчас мы рассказать про новое продукт и вообще как правильно бизнес вести 
@Katrin_Lerer Ахахахах) Праздник завтра!)) главное терпение подруга),1,ахахахи праздник завтра главный терпение подруга 
Решили покушать))) +1 блюдо в мою копилку)) теперь меня точно можно брать в жены ,1,решить покушать блюдо в мой копилка теперь я точно можно брать в жена 
"Утром спускаюсь в подъезде, смотрю в окно. Не поняла, снег лежит. Короче мы со снегом. Ае)",1,утром спускаться в подъезд смотреть в окно не понять снег лежать короче мы с снег ая 
"@Aliya_Boom Аааааа,  вот оно что... а я думал ты вторую часть смотрела)))))",1,аааааа вот оно что а я думать ты два часть смотреть 
"Мой мальчик самый лучший!!даже,когда я расстраиваюсь он поддерживает меня и успокаивает)приятно",1,мой мальчик самый хороший даже когда я расстраиваться он поддерживать я и успокаивать приятно 
Еще никогда не получала столько удовольствия от посещения поликлиники)))) такой здесь отзывчивый… http://t.co/rospTmSZsU,1,ещё никогда не получать столько удовольствие от посещение поликлиника такой здесь отзывчивый 
@nutkavolodina да ты что)я не забуду) я даже крестик себе поставила),1,да ты что я не забыть я даже крестик себя поставить 
семь армянских спортивных комплексов и три армянских вузов),1,семь армянский спортивный комплекс и три армянский вуз 
"@Nastya_Kareysha Наивная, такие как тынаивные молодые красавицы и становятся самые Толстыми тетками Мира )",1,наивный такой как тынаивный молодая красавица и становиться самый толстой тётка мир 
"@VikkyWonka лал, всё правильно. я обычно колонку рядом с вентиляцией ставлю :D",1,лал весь правильно я обычно колонка ряд с вентиляция ставить 
Занесло меня на просторы ВДНХ) #russia #moscow #today #winter #cold #like http://t.co/fhOjt6QhNL,1,занести я на простор вднх 
"RT @poebaly: @3Volkov @Lizo_ka ахах,ну просто ты отлично пишешь)",1,ахи ну просто ты отлично писать 
"@KateBarbaro в январе))
Эх был бы загран и виза)то запросто))Хотя в Амстердам лучше весной-тюльпанчики:)))",1,в январь эх быть бы загран и виза то запросто хотя в амстердам хороший весной тюльпанчик 
"да, дома  хорошо*-*
ждала выходных  очень*-*
проведу  их дома  без приключений)
и опять же жду воскресенье))*",1,да дом хорошо ждать выходной очень провести они дом без приключение и опять же ждать воскресение 
RT @m_enkhuush: Аль үе шатан дээрээ явж байна таануус ;) http://t.co/Cjj4ShCQOK,1,аль е шатать дээрээ явж байн таануус 
"@olyablindyuk смотри))) это просто неописуемооо
Я растеряла весь свой словарный запас",1,смотреть это просто неописуемооо я растерять весь свой словарный запас 
"Концерт на паре по китайскому)йау,Маша суперталантище))",1,концерт на пара по китайский йау маша суперталантище 
"ну что челы, у кого какие планы на лето? =) кто куда и с кем едет? :) возможно, я буду находиться рядом с вами, снимать в",1,ну что чел у кто какой план на лето кто куда и с кто ехать возможно я быть находиться ряд с вы снимать в 
RT @Dino_mc47: @LilArchi и @nezlayaa Ребята поздравляем вас от души ))) любви вам и гармонии ! Молодцы,1,и ребята поздравлять вы от душа любовь вы и гармония молодец 
И это пятницаааа!!! Все бегом в койот расслабляться и согреваться самыми горячими бодишотами))) @ Бар… http://t.co/pjYULJ4yBz,1,и это пятницаааа весь бегом в койот расслабляться и согреваться самый горячее бодишота бар 
уеееееееееее  пойду до аньки скоро буде прови красыть мени),1,уеееееееееий пойти до анька скоро буде провить красыть менить 
"СПИД намазывать, эти мАменты, хуепутало, охрана все решает, морской волос - это КМДА, детка)",1,спид намазывать этот мамент хуепутать охрана весь решать морской волос это кмд детка 
Только мы поймём)Хуй Тимати:D #яприличнаядевочка http://t.co/LQc1lt37ty,1,только мы понять хуй тимати яприличнаядевочка 
Какой будет эта зима? — Ну надеюсь самой незабываемой) http://t.co/EztN0kYuUm,1,какой быть этот зима ну надеяться самый незабываемый 
"#Рассказала текст по английскому на 7, #вспомнила школу, #вспомнила испанский, #вспомнила нравоучения Телебука. А тут-то прокатило;)",1,рассказать текст по английский на вспомнить школа вспомнить испанский вспомнить нравоучение телебук а тут то прокатить 
"знакомая сфоткалась в тазу, в тряпке, сделала руку как супермен, а фон грядочки. уже неделю с лп угораем над фотографией :DDDDDDDD",1,знакомый сфоткаться в таз в тряпка сделать рука как супермен а фон грядочка уже неделя с лп угорать над фотография 
всьо поставила жирну точку на цьом..і наконец-то нада вже розвлекаться)як мені сказали,1,всьо поставить жирн точка на ць наконец то нада вже розвлекаться як мена сказать 
"@geynrikh @quayarella75 ну что парни, когда решиться ваша дальнейшая судьба в ФК АКТОБЕ? :)",1,ну что парень когда решиться ваш дальнейший судьба в фк актоба 
"Дед сказал что мне нужно скорее жениться, и завести двух маленьких детей :-) Потому что бывшего мэра города отпустили дос",1,дед сказать что я нужно скорее жениться и завести два маленькая ребёнок потому что бывший мэр город отпустить дос 
"Ну вчера конечно поржали над си в камеди, ""почему ты на blackstar?"" ""Потому что я блэк бич""))))и мот в аспирантуне",1,ну вчера конечно поржать над си в камедь почему ты на потому что я блэк бич и мота в аспирантун 
@TheBorozdin_L @ritikritikk ну да. мечтать не вредно) знаем),1,ну да мечтать не вредный знать 
@Devyschka009 Не Грусти! Вот Тебе Гарри) http://t.co/27zA9SBMeO,1,не грусть вот ты гарри 
"Места, которые я бы хотел посетить:
Рио-де-Жанейро
Африка
Китай
Индия
Северный полюс
Афганистан
Париж,Лондон,Венеция - для слабаков:)",1,место который я бы хотеть посетить рио де жанейро африка китай индия северный полюс афганистан париж лондон венеция для слабак 
"получила все зачетики автоматом :)
И сама у всех их принимала.
Да, учителем быть сложно",1,получить весь зачетик автомат и сам у весь они принимать да учитель быть сложно 
"@21MMR21, Вот мужики совершенно не способные, все за них нужно делать. И как же бы они без нас жили... :)",1,вот мужик совершенно не способный весь за они нужно делать и как же бы они без мы жить 
"А так то день хароший))
Задовбала кота,ахаха. 
Тайкі в лице тортом дала))))
День впринципі хароший))",1,а так то день хароший задовбал кот ахах тайк в лицо торт дать день впринцип хароший 
"@iPanamych да я доволен своей. Но хотелось дешевле. Была бы морда меньше, за 1к бы со сферическими линзами взял)",1,да я довольный свой но хотеться дешёвый быть бы морда маленький за к бы с сферический линза взять 
"RT @tatomegerufy: нет ничего лучше, чем помыть голову после выпускной прически :D",1,нет ничто хороший чем помыть голова после выпускной причёска 
@ohmyfuckinjonas я чувствую вашу братско сестринскую любовь:D,1,я чувствовать ваш братско сестринский любовь 
"Хочу лето только ради того, что бы направить ногти ярким лаком :)",1,хотеть лето только ради тот что бы направить ноготь яркий лак 
Сделала открытку на ДР дяде. Я довольна своим творчеством :),1,сделать открытка на др дядя я довольный свой творчество 
Кто пример для подражания? — Катика:)) http://t.co/yN3a3VsTaf,1,кто пример для подражание катик 
"RT @IIYAXX: @anny_nazarik я тебя поздравила. а ты не заметила) 87 баллов по рт, ""могёшь"" просто. умница!",1,я ты поздравить а ты не заметить балл по рт могуть просто умница 
"на кой чёрт меня фолловит столько иностранцев? зачем я им вообще?
*нет, Браш, тебя это не касается ^_^ *",1,на кой чёрт я фолловить столько иностранец зачем я имя вообще нет браш ты это не касаться 
"Что вы бред несёте?) не хочу конечно никого разочаровывать, но всем срать на список ваших д",1,что вы бред нести не хотеть конечно никто разочаровывать но весь срать на список ваш далее 
Оленьи и собачьи упряжки в Лапландии http://t.co/xPDE2hLZgT моя новая статья в тур блоге)),1,олений и собачий упряжка в лапландий мой новый статья в тур блог 
"@Harry_StyIels ну, по тупой причине, я пообщалась с подругой :D
ахах, это странно но моё хорошее настроение вернулось)",1,ну по тупой причина я пообщаться с подруга ахи это странно но мой хороший настроение вернуться 
RT @hehewadyhaw: ...и все такие замечательные)))...аж подташнивает... .,1,и весь такой замечательный аж подташнивать 
"@ViktoriaReyter хз ваще, просто мы запоминающиеся))",1,хз ващий просто мы запоминаться 
"RT @AidaHarington: у спрятала,а свои стала менять.Захожу,а она голову измеряет) Я ржу...Она:-Я чуть с ума не",1,у спрятать а свой стать менять заходить а она голова измерять я ржа она я чуть с ум не 
"RT @Dashinkaa: Я хорошая девочкааа. Юхууу. А теперь,Санта, подари мне мальчика:DD http://t.co/d7ApbLqN3b",1,я хороший девочкааа юхууа а теперь сант подарить я мальчик 
"Двигаем на открытый #versus. @Mariamashkaa, не забудь вечером трек залить :)",1,двигать на открытый не забыть вечером трек залить 
"Написал киткату, пробили у курьеров информацию, планируют нексус привезти в понедельник. Ничего себе новости :)",1,написать киткат пробить у курьер информация планировать нексус привезти в понедельник ничто себя новость 
мы любим пары)))элита))святая троица)) http://t.co/J1y6OcUtBk,1,мы любим пара элита святой троица 
"@Kari0Kari @Tancha98 блин,то есть тоже неееееееее Nesquik)",1,блин то есть тоже неееееееий 
"@ktullanux Ага, так и говрил: Нахуй она нужна? Ради дырки чтоль её терпеть? :)))))",1,ага так и говрил нахуй она нужный ради дырка чтоль её терпеть 
RT @seablueneva: я уже поздравила Минни :D Интеры завидуйте молча в уголочке...,1,я уже поздравить минний интеры завидовать молча в уголочек 
поверь мне) я не купил айфон и ничуть не проиграл от этого,1,поверь я я не купить айфон и ничуть не проиграть от это 
"@TEA_TO_LAMBERT теперь хочу фоточку:D
давно было?:з",1,теперь хотеть фоточка давно быть з 
"Сегодня был веселый английский, мы веселились как могли:)",1,сегодня быть весёлый английский мы веселиться как мочь 
"@__Innuendo_ Здравствуй, О`Хара :D Ну как, все два тома прочитала?)",1,здравствовать о хара ну как весь два том прочитать 
Какой будет эта зима? — Самая лучшая) http://t.co/rkdb7C3pjs,1,какой быть этот зима самый хороший 
"Стою,наблюдаю как мальчик упал в снег и начал его есть, почему то мне кажется это очень забавным)",1,стоять наблюдать как мальчик упасть в снег и начать он есть почему то я кажется это очень забавный 
Все таки мрії збуваються!!Ружена хотіла постояти в клині і постояла!))))),1,весь таки мр збуваються ружена хота ла постоять в клин постоялый 
"Написав мені адвокат Кофі Міллс есквайр. Каже, маю отримати 7.380000$ спадку #успєх?))",1,написать мена адвокат коф метр ллс есквайр кажа май отримати спадок усп х 
"@tanusja2000 Нит ,ты врешь...Не хочешь говорить-не надо)",1,нит ты врать не хотеть говорить не надо 
Так хочется какие то сопли сюда написать...но нет ахах я говорила что не буду:***,1,так хотеться какой то сопля сюда написать но нет ахи я говорить что не быть 
"Нашла старые фотки... прослезилась
Адреналин:** ЛЮБЛЮ ВАС:* http://t.co/bqwmkgckgG",1,найти старое фотка прослезиться адреналин любить вы 
Универчик нарядили к Новому году) +1 к карме ректора))),1,универчик нарядить к новый год к карма ректор 
"Один идиот сказал,что я секси пекси:)
Ха-ха-ха!:)Я долго смеялась!",1,один идиот сказать что я секси пекси ха ха ха я долго смеяться 
"@Johnny__Ramone да, и самой не трудно. Если что - спрашивай, я помогу.
Я 3 курс)",1,да и самый не трудно если что спрашивать я помочь я курс 
RT @SmailovAlmas: Ае Ае Ае сейчас начнется открытие ШСВ;) #ШколаСтудвесны #ШСВ_Томск http://t.co/afzPv62dO5,1,ая ая ая сейчас начаться открытие шсв школастудвесный шсв томск 
"@Veb_Ledi да ничего страшного-бывает) Я тож -работала, потом заглянула в тви-а тут поэма от тебя))) Вначале вообще думала реально диверсия)",1,да ничто страшный бывать я тож работать потом заглянуть в тви а тут поэма от ты вначале вообще думать реально диверсия 
"@Veb_Ledi да ничего страшного-бывает) Я тож -работала, потом заглянула в тви-а тут поэма от тебя))) Вначале вообще думала реально диверсия)",1,да ничто страшный бывать я тож работать потом заглянуть в тви а тут поэма от ты вначале вообще думать реально диверсия 
"Физичка разозлилась, и решила первый раз задать пересказ за все годы :D",1,физичка разозлиться и решить один раз задать пересказ за весь год 
АХАХА. Пол урока географии с Сюзанной дико ржали:-),1,ахах половина урок география с сюзанна дико ржать 
"такой прекрасный день, прям нарадоваться не могу :))",1,такой прекрасный день прям нарадоваться не мочь 
@Leontskh Конечно:-) Желаю вам побыстрее пройти тот путь который прошел я.Разберетесь сами. :-),1,конечно желать вы быстрый пройти тот путь который пройти я разобраться сам 
@foxnastya97 с тобой ахуенно смотреть ужааастииикииии=)):3,1,с ты ахуенно смотреть ужааастииикииия 
@niechunaieval и подарить что-нибудь) что бы помнила нас),1,и подарить что нибыть что бы помнить мы 
"я еще и во дворе в футбол погонял %) чувствую, завтра не встану :)",1,я ещё и в двор в футбол погонять чувствовать завтра не встать 
Честно вообще не понимаю зачем сюда приехали!)  поиграли в игру одну крутую и похавали норм)),1,честно вообще не понимать зачем сюда приехать поиграть в игра один крутой и похавали норма 
@valeraa_valera да так.. все больше по вокзалам шныряю))) ахахаа,1,да так весь большой по вокзал шнырять ахахаа 
Фубляя) RT @ZhuravlevPavel: Луческу сделают тренером сборной через Попеску,1,фублять лучёска сделать тренер сборный через попесок 
"@Milkaaaaa_Zem27 Привеет! Отлично, супер, в компе! АХАХА а ти? ;)",1,привеять отлично супер в комп ахах а ти 
"RT @djoshua7: :)) - ""Идите вы все на***!"" - мнение о Евромайдане киевлянки, живущей в центре #евромайдан",1,идти вы весь на мнение о евромайдан киевлянка жить в центр евромайдан 
@anngeta а группы какие? может у меня тоже плакаты завалялись),1,а группа какой мочь у я тоже плакат заваляться 
Съездила с родителями в магазин)Как же я это люблю^^Покупочки),1,съездить с родитель в магазин как же я это любить покупочка 
"@Belieber_Ann1 а ты мой =*
самый упоротый любимый твиттерский :D",1,а ты мой самый упороть любимый твиттерский 
@sugarasian ты серьезно?) это же просто шикарный фильм,1,ты серьёзно это же просто шикарный фильм 
"Всё-таки любить приятно, а если ещё взаимно:33Время покажет:)",1,весь таки любить приятно а если ещё взаимно время показать 
Колледж просто в 1000000 раз лучше школы!!!! :Р завидуйте мне :),1,колледж просто в раз хороший школа р завидовать я 
""" Твои кошки так успокаивают меня... или это шампанское?.."")",1,твой кошка так успокаивать я или это шампанский 
"А может Медведев Рыкова ретвитнул не как президент, а как частно лицо. ;)",1,а мочь медведев рыков ретвитнуть не как президент а как частный лицо 
"Спасибо , вам всем моим любимым ) ну кроме Вани Антона и ВАни .",1,спасибо вы весь мой любимый ну кроме вани антон и вани 
"@chlenschmidta авввв:D та, ты молодец: а молодцы… :DD",1,авввва тот ты молодец а молодец 
@MudrovaKristina ну у нас общие знакомые с тобой от туда)) вероника)),1,ну у мы общий знакомый с ты от туда вероника 
"ну вот с одной стороны круто чт ты читаешь мой твт А.П, но юбка у меня нормаааальная!ок?мне смешно даже от этой ситуации:D",1,ну вот с один сторона круто чт ты читать мой твт а плата но юбка у я нормаааальный ок я смешно даже от этот ситуация 
@anskaya_e ну почему не узнаю?! Я так тронута!) взаимно:***,1,ну почему не узнавать я так тронутый взаимно 
"В моей болезни есть лишь один плюс-я сейчас не уроки делаю,а любимый ""Титаник""смотрю!)",1,в мой болезнь есть лишь один плюс я сейчас не урок делать а любимый титаник смотреть 
"Если девушка ведет себя, как ребенок, значит, она счастлива. :))",1,если девушка вести себя как ребёнок значит она счастливый 
я уже задолбалась вас ретвитить и в избранное добавлять),1,я уже задолбаться вы ретвитить и в избранный добавлять 
"Лера сумку соберет , потом ко мне  , ну а потом уже гулять :)",1,лера сумка собрать потом к я ну а потом уже гулять 
Мой первый экзамен в новом универе сдан на Отлично! :),1,мой один экзамен в новый универ сдать на отлично 
"@Ps99Ash да не бойся, она если что всё исправит, тебе скажет что нить и всё) а ты просто забудь всё и иди) аахахахтак что)",1,да не бояться она если что весь исправить ты сказать что нить и весь а ты просто забыть весь и идти аахахахтак что 
"ну в общем вы поняли, что я написала ""девочкой"" :DD",1,ну в общий вы понять что я написать девочка 
"RT @berdnikova123: @anzhelahruckaya так география,общество,химия :)",1,так география общество химия 
RT @Roz_And: Вам привет из Ленинграда :) #євромайдан #евромайдан #Україна #Россия http://t.co/mRkeXowMTI,1,вы привет из ленинград вромайдан евромайдан укр на россия 
"@den_lsko смс-сообщение... Short Message Servise с англ. дословно -
""Сервис коротких сообщений""...;)))))))",1,смс сообщение с англ дословно сервис короткий сообщение 
Подтирая жопу осторожным будь!Жосткая бумага к травматизму путь:) ,1,подтирать жопа осторожный быть жосткай бумага к травматизм путь 
@Leosnowy Кстати я помню ты еще ТОГДА мне продвигал самсунг)))) начал с плееров. Но кстати с тех пор я пользуюсь билайном),1,кстати я помнить ты ещё тогда я продвигать самсунг начать с плеер но кстати с тот пора я пользоваться билайн 
Вся правда о налогах в РФ ))) http://t.co/fgM1liybp7,1,весь правда о налог в рф 
@KateBarbaro Так что как все будет готово-напишууу))Устроим европейскую поездочку)),1,так что как весь быть готовый напишууа устроить европейский поездочка 
"@_Simple_Smile_ люблю чизкейки, задерживаю дыхание на 3 минуты :)",1,любить чизкейка задерживать дыхание на минута 
"Хаха ну конечно как ехать по магазинам и не угарать на всю маршрутку,это тогда мы не мы будем)",1,хах ну конечно как ехать по магазин и не угарать на весь маршрутка это тогда мы не мы быть 
"@svaluev @Shk_Evgeniy @Rudeti @aaaidar не совсем!) страховала в своей, но я тогда еще там не работала!",1,не совсем страховать в свой но я тогда ещё там не работать 
Обычно у меня правило 3 звонков) не ответили - обида ахахха логика збс,1,обычно у я правило звонок не ответить обида ахахха логика збс 
"@sitovvadim с прошедшим,Вадим:)Всего самого крутого)Будь счастлив!",1,с прошедшее вадим всего самый крутой быть счастливый 
@adept67 @Sivaia_Kobyla Только ордерочек на чуланчик выпиши! Век благодарен буду! )))),1,только ордерочка на чуланчик выписать век благодарный быть 
Судя по информации на странице Павла Дурова можно сделать вывод: Николай Дуров не признает своего брата:-D ,1,судить по информация на страница павел дуров можно сделать вывод николай дуров не признать свой брат 
"Мы развлекались, как могли хд))) http://t.co/AyYbD3cgL9",1,мы развлекаться как мочь хд 
"RT @chlenschmidta: @PBarteneva ага,а потом серии будем доооооооооооооооооооооооолго выпускать:D и будем зло смеяться:D",1,ага а потом серия быть доооооооооооооооооооооооолго выпускать и быть зло смеяться 
@Qlagina надо номер попробовать восстановить - куда проще),1,надо номер попробовать восстановить куда простой 
"@dostoevskoff шикарно же)
с нами занимаются стилист и визажист. намного полезнее, чем матан или что-то еще)",1,шикарно же с мы заниматься стилист и визажист намного полезный чем матан или что то ещё 
"RT @EvgAleksandrov: Вот. Люди уже ̶с̶н̶е̶г̶о̶в̶и̶к̶о̶в̶  тигров лепят, а у нас цветочки цветут)) http://t.co/KlUpUGxsk7",1,вот человек уже с наш е год о в и к о в тигровый лепить а у мы цветочек цвести 
"приехали, поржали, пожрали, уехали:) всё описание сегодняшнего дня)",1,приехать поржать пожрать уехать весь описание сегодняшний день 
RT @fifowybiqeq: Пиво со сметаной - новое средство набрать килограммы)),1,пиво с сметана новое средство набрать килограмм 
"школа, такая школа:) #НовогоднееНастроение http://t.co/nQ3JKEHH7D",1,школа такой школа новогоднеенастроение 
"Нашла старые фотки... прослезилась
Адреналин:** ЛЮБЛЮ ВАС:* ♥♥♥♥ http://t.co/7gDogoRmsi",1,найти старое фотка прослезиться адреналин любить вы 
Поменяла пленочку и за полтора года впервые увидела себя в отражении экрана))))),1,поменять пленочка и за полтора год впервые увидеть себя в отражение экран 
@AntaBan Ты хочешь полетать?!Ты думаешь тебе всё возможно?!!:DDDDDD,1,ты хотеть полетать ты думать ты весь возможно 
"RT @Flawlesscyrrus: ""Лиам Хемсворт  теперь уговаривает бывшую невесту вернуться к нему""
Я ж говорила,что ты будешь умолять ее вернуться ::))",1,лиам хемсворт теперь уговаривать бывший невеста вернуться к он я ж говорить что ты быть умолять она вернуться 
